name	type	units
E1	EEG	µV
E2	EEG	µV
E3	EEG	µV
E4	EEG	µV
E5	EEG	µV
E6	EEG	µV
E7	EEG	µV
E8	EEG	µV
E9	EEG	µV
E10	EEG	µV
E11	EEG	µV
E12	EEG	µV
E13	EEG	µV
E14	EEG	µV
E15	EEG	µV
E16	EEG	µV
E17	EEG	µV
E18	EEG	µV
E19	EEG	µV
E20	EEG	µV
E21	EEG	µV
E22	EEG	µV
E23	EEG	µV
E24	EEG	µV
E25	EEG	µV
E26	EEG	µV
E27	EEG	µV
E28	EEG	µV
E29	EEG	µV
E30	EEG	µV
E31	EEG	µV
E32	EEG	µV
E33	EEG	µV
E34	EEG	µV
E35	EEG	µV
E36	EEG	µV
E37	EEG	µV
E38	EEG	µV
E39	EEG	µV
E40	EEG	µV
E41	EEG	µV
E42	EEG	µV
E43	EEG	µV
E44	EEG	µV
E45	EEG	µV
E46	EEG	µV
E47	EEG	µV
E48	EEG	µV
E49	EEG	µV
E50	EEG	µV
E51	EEG	µV
E52	EEG	µV
E53	EEG	µV
E54	EEG	µV
E55	EEG	µV
E56	EEG	µV
E57	EEG	µV
E58	EEG	µV
E59	EEG	µV
E60	EEG	µV
E61	EEG	µV
E62	EEG	µV
E63	EEG	µV
E64	EEG	µV
E65	EEG	µV
E66	EEG	µV
E67	EEG	µV
E68	EEG	µV
E69	EEG	µV
E70	EEG	µV
E71	EEG	µV
E72	EEG	µV
E73	EEG	µV
E74	EEG	µV
E75	EEG	µV
E76	EEG	µV
E77	EEG	µV
E78	EEG	µV
E79	EEG	µV
E80	EEG	µV
E81	EEG	µV
E82	EEG	µV
E83	EEG	µV
E84	EEG	µV
E85	EEG	µV
E86	EEG	µV
E87	EEG	µV
E88	EEG	µV
E89	EEG	µV
E90	EEG	µV
E91	EEG	µV
E92	EEG	µV
E93	EEG	µV
E94	EEG	µV
E95	EEG	µV
E96	EEG	µV
E97	EEG	µV
E98	EEG	µV
E99	EEG	µV
E100	EEG	µV
E101	EEG	µV
E102	EEG	µV
E103	EEG	µV
E104	EEG	µV
E105	EEG	µV
E106	EEG	µV
E107	EEG	µV
E108	EEG	µV
E109	EEG	µV
E110	EEG	µV
E111	EEG	µV
E112	EEG	µV
E113	EEG	µV
E114	EEG	µV
E115	EEG	µV
E116	EEG	µV
E117	EEG	µV
E118	EEG	µV
E119	EEG	µV
E120	EEG	µV
E121	EEG	µV
E122	EEG	µV
E123	EEG	µV
E124	EEG	µV
E125	EEG	µV
E126	EEG	µV
E127	EEG	µV
E128	EEG	µV
E129	EEG	µV
