onset	duration	sample	value	trial_type
1.16	0.464	580	boundary	boundary
6.265861777	2	3132.9309	neu	neu
6.924860416	2	3462.4302	cor	cor
7.581857456	2	3790.9287	neu	neu
7.996862246	2	3998.4311	cor	cor
8.781861005	2	4390.9305	con	con
9.044854952	2	4522.4275	cor	cor
9.698854623	2	4849.4273	con	con
10.25285484	2	5126.4274	cor	cor
10.74885899	2	5374.4295	con	con
11.06886329	2	5534.4316	cor	cor
11.84886308	2	5924.4315	neu	neu
12.15685779	2	6078.4289	cor	cor
12.81486065	2	6407.4303	neu	neu
13.26886141	2	6634.4307	cor	cor
13.84785646	2	6923.9282	inc	inc
14.27686238	2	7138.4312	cor	cor
14.89786082	2	7448.9304	con	con
15.1808607	2	7590.4303	err	err
16.1478641	2	8073.9321	con	con
16.66085669	2	8330.4283	cor	cor
17.34785759	2	8673.9288	inc	inc
17.65285493	2	8826.4275	cor	cor
18.38086346	2	9190.4317	inc	inc
19.53085722	2	9765.4286	inc	inc
19.94885938	2	9974.4297	cor	cor
20.54786035	2	10273.9302	neu	neu
20.90085582	2	10450.4279	cor	cor
21.86385603	2	10931.928	neu	neu
22.1488575	2	11074.4288	cor	cor
23.11385931	2	11556.9297	inc	inc
23.47686277	2	11738.4314	cor	cor
24.11386394	2	12056.932	neu	neu
24.58885634	2	12294.4282	cor	cor
25.14685975	2	12573.4299	con	con
25.54885918	2	12774.4296	cor	cor
26.22985528	2	13114.9276	inc	inc
26.54886381	2	13274.4319	cor	cor
27.26385692	2	13631.9285	inc	inc
28.24686305	2	14123.4315	neu	neu
29.37985831	2	14689.9292	inc	inc
29.64385809	2	14821.929	cor	cor
30.44686118	2	15223.4306	inc	inc
31.59685494	2	15798.4275	con	con
32.15586418	2	16077.9321	cor	cor
32.86286095	2	16431.4305	con	con
33.18885998	2	16594.43	cor	cor
34.02986327	2	17014.9316	neu	neu
34.41185677	2	17205.9284	cor	cor
35.04586057	2	17522.9303	neu	neu
35.43586047	2	17717.9302	cor	cor
36.17885583	2	18089.4279	con	con
36.44386144	2	18221.9307	err	err
37.37885938	2	18689.4297	con	con
37.91685687	2	18958.4284	cor	cor
38.31185573	2	19155.9279	neu	neu
38.78786401	2	19393.932	cor	cor
39.52885778	2	19764.4289	inc	inc
40.05185836	2	20025.9292	cor	cor
40.44485563	2	20222.4278	neu	neu
40.99585847	2	20497.9292	cor	cor
41.74485864	2	20872.4293	inc	inc
42.1078621	2	21053.931	cor	cor
42.72886054	2	21364.4303	inc	inc
43.04385581	2	21521.9279	cor	cor
43.8278588	2	21913.9294	neu	neu
44.11585764	2	22057.9288	cor	cor
45.01185962	2	22505.9298	inc	inc
45.37185566	2	22685.9278	cor	cor
46.17785612	2	23088.9281	con	con
46.60385461	2	23301.9273	cor	cor
47.36086117	2	23680.4306	neu	neu
47.75586003	2	23877.93	cor	cor
48.57786321	2	24288.9316	inc	inc
48.87585999	2	24437.93	cor	cor
49.87785616	2	24938.9281	neu	neu
50.32386058	2	25161.9303	cor	cor
50.99386298	2	25496.9315	con	con
51.5398568	2	25769.9284	cor	cor
52.21085498	2	26105.4275	inc	inc
52.46786424	2	26233.9321	cor	cor
53.44385975	2	26721.9299	inc	inc
53.81985852	2	26909.9293	cor	cor
54.45985706	2	27229.9285	con	con
54.85185855	2	27425.9293	cor	cor
55.62685938	2	27813.4297	inc	inc
55.89986132	2	27949.9307	cor	cor
56.84386143	2	28421.9307	inc	inc
57.11585754	2	28557.9288	cor	cor
57.92685696	2	28963.4285	con	con
58.2038621	2	29101.931	cor	cor
59.02686105	2	29513.4305	inc	inc
59.52386097	2	29761.9305	cor	cor
60.04285836	2	30021.4292	con	con
60.38785749	2	30193.9287	cor	cor
61.12586395	2	30562.932	con	con
61.61186011	2	30805.9301	cor	cor
62.22585799	2	31112.929	neu	neu
62.58785562	2	31293.9278	cor	cor
63.49285976	2	31746.4299	neu	neu
63.97185536	2	31985.9277	cor	cor
64.42585611	2	32212.9281	neu	neu
64.7878638	2	32393.9319	cor	cor
65.44285925	2	32721.4296	con	con
65.82685435	2	32913.4272	cor	cor
66.44185805	2	33220.929	con	con
66.80385569	2	33401.9278	err	err
67.59186187	2	33795.9309	neu	neu
68.52485822	2	34262.4291	neu	neu
69.72486177	2	34862.4309	inc	inc
70.38685778	2	35193.4289	cor	cor
71.02485472	2	35512.4274	con	con
71.29985826	2	35649.9291	err	err
72.05786058	2	36028.9303	con	con
72.44385728	2	36221.9286	cor	cor
91.18986302	2	45594.9315	con	con
91.90685773	2	45953.4289	cor	cor
92.38886075	2	46194.4304	inc	inc
92.69885705	2	46349.4285	cor	cor
93.35586415	2	46677.9321	neu	neu
93.66685623	2	46833.4281	cor	cor
94.6388586	2	47319.4293	neu	neu
95.80586092	2	47902.9305	inc	inc
96.98885591	2	48494.428	inc	inc
98.30486165	2	49152.4308	inc	inc
98.61085476	2	49305.4274	cor	cor
99.23886382	2	49619.4319	neu	neu
99.51486313	2	49757.4316	cor	cor
100.3388579	2	50169.4289	neu	neu
100.7068603	2	50353.4301	cor	cor
101.4048549	2	50702.4274	neu	neu
101.7068549	2	50853.4274	cor	cor
102.6548582	2	51327.4291	inc	inc
103.0908546	2	51545.4273	cor	cor
103.6218616	2	51810.9308	neu	neu
103.9228557	2	51961.4279	cor	cor
104.7548568	2	52377.4284	neu	neu
105.0348593	2	52517.4297	cor	cor
106.0048601	2	53002.4301	con	con
106.2988638	2	53149.4319	cor	cor
107.0378559	2	53518.928	neu	neu
107.3948546	2	53697.4273	cor	cor
108.1208615	2	54060.4308	inc	inc
108.5868618	2	54293.4309	cor	cor
109.3878633	2	54693.9316	inc	inc
109.7548599	2	54877.4299	cor	cor
110.5538598	2	55276.9299	neu	neu
110.8828562	2	55441.4281	cor	cor
111.7208621	2	55860.4311	con	con
112.0738576	2	56036.9288	cor	cor
112.6868597	2	56343.4298	inc	inc
112.9708553	2	56485.4277	cor	cor
113.936863	2	56968.4315	inc	inc
114.2988606	2	57149.4303	cor	cor
114.8868578	2	57443.4289	con	con
115.3058557	2	57652.9279	cor	cor
116.2028635	2	58101.4318	neu	neu
116.4658575	2	58232.9287	cor	cor
117.1368557	2	58568.4278	neu	neu
117.7298619	2	58864.9309	cor	cor
118.1358545	2	59067.9272	neu	neu
118.537864	2	59268.932	cor	cor
119.369855	2	59684.9275	con	con
119.7068578	2	59853.4289	cor	cor
120.3528611	2	60176.4306	neu	neu
120.8738601	2	60436.9301	cor	cor
121.5358561	2	60767.9281	inc	inc
121.9708568	2	60985.4284	cor	cor
122.7188612	2	61359.4306	con	con
123.0498592	2	61524.9296	cor	cor
123.6858545	2	61842.9273	con	con
124.1298574	2	62064.9287	cor	cor
124.7018619	2	62350.931	inc	inc
125.1058629	2	62552.9315	err	err
125.8188544	2	62909.4272	inc	inc
126.3138628	2	63156.9314	cor	cor
127.1348602	2	63567.4301	con	con
127.4498554	2	63724.9277	cor	cor
128.284864	2	64142.432	con	con
128.6818544	2	64340.9272	cor	cor
129.5348572	2	64767.4286	con	con
129.8018544	2	64900.9272	cor	cor
130.6018601	2	65300.93	neu	neu
130.8738562	2	65436.9281	cor	cor
131.7518639	2	65875.9319	con	con
132.0258616	2	66012.9308	cor	cor
132.9348589	2	66467.4294	inc	inc
134.0008559	2	67000.428	neu	neu
134.4018596	2	67200.9298	cor	cor
135.134857	2	67567.4285	neu	neu
135.6178558	2	67808.9279	cor	cor
136.3838545	2	68191.9272	inc	inc
136.7538585	2	68376.9292	cor	cor
137.5508568	2	68775.4284	inc	inc
137.9058639	2	68952.932	cor	cor
138.7668631	2	69383.4315	inc	inc
139.1778546	2	69588.9273	cor	cor
139.9668566	2	69983.4283	inc	inc
140.5378553	2	70268.9276	cor	cor
140.9008587	2	70450.4294	neu	neu
141.1778639	2	70588.9319	cor	cor
141.999857	2	70999.9285	con	con
142.3138565	2	71156.9282	cor	cor
143.0998611	2	71549.9305	con	con
144.2998546	2	72149.9273	neu	neu
145.4168572	2	72708.4286	inc	inc
146.6998617	2	73349.9308	con	con
